	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF476_3435718_3435855_-	LLM class flavin-dependent oxidoreductase	45	12	8.58118E-24	99.44	1	F:GO:0016705	F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	EC:1.14	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)			
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF477_3317869_3318135_-	Uncharacterised protein	88	3	4.84199E-55	100.0	1	C:GO:0016020	C:membrane					
true	[NO-BLAST]	mtb_smORF478_3214492_3214740_-	---NA---	82											
true	[BLASTED]	mtb_smORF479_3168154_3168411_-	Uncharacterised protein	85	2	6.64141E-25	89.41								
true	[BLASTED]	mtb_smORF480_3121993_3122226_-	Uncharacterised protein	77	20	4.09873E-47	91.22								
true	[BLASTED]	mtb_smORF481_3119305_3119541_-	Uncharacterised protein	78	20	9.66279E-49	96.75								
true	[NO-BLAST]	mtb_smORF482_3042406_3042630_-	---NA---	74											
true	[BLASTED]	mtb_smORF483_3034789_3035001_-	hypothetical protein	70	2	8.53673E-9	58.57								
true	[BLASTED]	mtb_smORF484_2982406_2982579_-	Uncharacterised protein	57	1	2.75693E-34	100.0								
true	[NO-BLAST]	mtb_smORF485_2973448_2973633_-	---NA---	61											
true	[BLASTED, MAPPED]	mtb_smORF486_2969413_2969604_-	TIGR02611 family protein	63	1	1.10222E-5	100.0	1	C:GO:0016020	C:membrane					
true	[BLASTED]	mtb_smORF487_2759617_2759919_-	Uncharacterised protein	100	2	1.68942E-33	92.0								
true	[BLASTED]	mtb_smORF488_2732893_2733141_-	Uncharacterised protein	82	8	6.14066E-52	98.27								
true	[BLASTED]	mtb_smORF489_2655187_2655309_-	Uncharacterised protein	40	1	3.41283E-20	100.0								
true	[BLASTED, MAPPED]	mtb_smORF490_2636950_2637027_-	Uncharacterised protein	25	6	2.68802E-6	98.61	6	P:GO:0006412; P:GO:0006426; F:GO:0004812; F:GO:0004820; F:GO:0005524; C:GO:0005737	P:translation; P:glycyl-tRNA aminoacylation; F:aminoacyl-tRNA ligase activity; F:glycine-tRNA ligase activity; F:ATP binding; C:cytoplasm					
true	[BLASTED]	mtb_smORF491_2619976_2620272_-	Uncharacterised protein	98	3	2.5823E-63	100.0								
true	[BLASTED]	mtb_smORF492_2538550_2538645_-	hypothetical protein	31	1	4.79465E-12	100.0								
true	[BLASTED]	mtb_smORF493_2453458_2453709_-	Uncharacterised protein	83	20	1.30994E-25	99.16								
true	[BLASTED]	mtb_smORF494_2441659_2441934_-	Gp101	91	1	5.30853E-7	100.0								
true	[NO-BLAST]	mtb_smORF495_2398582_2398773_-	---NA---	63											
true	[BLASTED]	mtb_smORF496_2393638_2393796_-	Uncharacterised protein	52	9	3.72179E-29	97.44								
true	[BLASTED]	mtb_smORF497_2367259_2367468_-	Uncharacterised protein	69	1	3.31644E-41	100.0								
true	[BLASTED]	mtb_smORF498_2365051_2365125_-	IS3 family transposase	24	5	9.41227E-5	91.52								
true	[BLASTED]	mtb_smORF499_2268268_2268513_-	Uncharacterised protein	81	20	1.32717E-51	100.0								
true	[BLASTED]	mtb_smORF500_2263039_2263293_-	HNH endonuclease domain-containing protein	84	18	1.61521E-36	99.25								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF501_2260021_2260260_-	type ISP restriction/modification enzyme	79	20	1.22832E-49	84.1	1	F:GO:0004386	F:helicase activity					
true	[BLASTED]	mtb_smORF502_2259778_2259906_-	hypothetical protein BTB1458_2229	42	1	6.21752E-20	100.0								
true	[BLASTED]	mtb_smORF503_2142388_2142630_-	Uncharacterised protein	80	3	5.1749E-33	100.0								
true	[BLASTED]	mtb_smORF504_2125783_2125986_-	Uncharacterised protein	67	3	1.29796E-20	100.0								
true	[BLASTED]	mtb_smORF505_2108848_2109075_-	predicted protein	75	1	1.25829E-34	100.0								
true	[BLASTED]	mtb_smORF506_2059309_2059608_-	Uncharacterised protein	99	2	1.76572E-9	89.47								
true	[BLASTED]	mtb_smORF507_2051134_2051403_-	Uncharacterised protein	89	4	6.44615E-46	89.59								
true	[BLASTED]	mtb_smORF508_2030506_2030676_-	Conserved membrane protein of uncharacterised function	56	2	8.16966E-7	100.0								
true	[NO-BLAST]	mtb_smORF509_1895959_1896258_-	---NA---	99											
true	[BLASTED]	mtb_smORF510_1833346_1833588_-	Uncharacterised protein	80	2	9.17938E-51	100.0								
true	[BLASTED]	mtb_smORF511_1789966_1790184_-	predicted protein	72	1	9.59509E-45	100.0								
true	[BLASTED, MAPPED]	mtb_smORF512_1753405_1753578_-	PPE family protein	57	20	4.66587E-4	81.25	2	P:GO:0030031; P:GO:0052572	P:cell projection assembly; P:response to host immune response					
true	[BLASTED]	mtb_smORF513_1746958_1747191_-	Uncharacterised protein	77	3	6.94393E-47	99.13								
true	[NO-BLAST]	mtb_smORF514_1710700_1710936_-	---NA---	78											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF515_1693996_1694262_-	TDP-4-oxo-6-deoxy-D-glucose aminotransferase	88	20	3.2078E-56	99.89	3	P:GO:0000271; F:GO:0019180; F:GO:0030170	P:polysaccharide biosynthetic process; F:dTDP-4-amino-4,6-dideoxygalactose transaminase activity; F:pyridoxal phosphate binding	EC:2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase			
true	[BLASTED]	mtb_smORF516_1681078_1681287_-	Conserved membrane protein of uncharacterised function	69	1	1.44264E-35	100.0								
true	[NO-BLAST]	mtb_smORF517_1679059_1679268_-	---NA---	69											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF518_1616365_1616592_-	transcriptional regulator	75	20	2.25319E-18	98.81	3	P:GO:0006355; F:GO:0000976; F:GO:0003700	P:regulation of DNA-templated transcription; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity					
true	[BLASTED]	mtb_smORF519_1540723_1540956_-	Uncharacterised protein	77	3	2.6896E-48	87.28								
true	[BLASTED]	mtb_smORF520_1530973_1531197_-	Uncharacterised protein	74	20	8.56812E-47	99.12								
true	[NO-BLAST]	mtb_smORF521_1473370_1473591_-	---NA---	73											
true	[BLASTED]	mtb_smORF522_1472059_1472289_-	PG1 protein	76	20	7.96789E-47	87.64								
true	[NO-BLAST]	mtb_smORF523_1455094_1455288_-	---NA---	64											
true	[NO-BLAST]	mtb_smORF524_1371481_1371726_-	---NA---	81											
true	[BLASTED]	mtb_smORF525_1340818_1340973_-	Conserved membrane protein of uncharacterised function	51	2	6.86998E-8	100.0								
true	[BLASTED]	mtb_smORF526_1240861_1240962_-	Uncharacterised protein	33	2	3.61574E-15	100.0								
true	[BLASTED]	mtb_smORF527_1240081_1240245_-	hypothetical protein	54	1	5.11561E-23	84.91								
true	[NO-BLAST]	mtb_smORF528_1205755_1205970_-	---NA---	71											
true	[BLASTED, MAPPED]	mtb_smORF529_1178437_1178649_-	DUF222 domain-containing protein	70	20	3.03541E-21	87.68	3	F:GO:0003676; F:GO:0004519; F:GO:0008270	F:nucleic acid binding; F:endonuclease activity; F:zinc ion binding					
true	[NO-BLAST]	mtb_smORF530_1166896_1167045_-	---NA---	49											
true	[BLASTED]	mtb_smORF531_1160095_1160358_-	transposase	87	20	6.82197E-41	99.94								
true	[NO-BLAST]	mtb_smORF532_1135432_1135500_-	---NA---	22											
true	[BLASTED]	mtb_smORF533_1093105_1093254_-	Uncharacterised protein	49	4	2.76805E-26	100.0								
true	[NO-BLAST]	mtb_smORF534_1073959_1074129_-	---NA---	56											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF535_1057300_1057530_-	mycolyltransferase	76	20	9.77798E-48	99.01	1	F:GO:0016740	F:transferase activity	EC:2	Transferases			
true	[NO-BLAST]	mtb_smORF536_1003831_1004046_-	---NA---	71											
true	[NO-BLAST]	mtb_smORF537_996232_996399_-	---NA---	55											
true	[NO-BLAST]	mtb_smORF538_962800_962964_-	---NA---	54											
true	[NO-BLAST]	mtb_smORF539_948601_948876_-	---NA---	91											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF540_850342_850512_-	transposase	56	20	1.31396E-30	99.6	1	F:GO:0043565	F:sequence-specific DNA binding					
true	[NO-BLAST]	mtb_smORF541_841015_841287_-	---NA---	90											
true	[BLASTED]	mtb_smORF542_835015_835266_-	3-hydroxyisobutyrate dehydrogenase	83	1	1.08155E-4	100.0								
true	[NO-BLAST]	mtb_smORF543_799843_800061_-	---NA---	72											
true	[NO-BLAST]	mtb_smORF544_747835_748083_-	---NA---	82											
true	[BLASTED]	mtb_smORF545_733438_733665_-	hypothetical protein MHPYR_280009	75	6	5.16157E-8	82.26								
true	[BLASTED]	mtb_smORF546_704446_704649_-	oxidoreductase	67	1	8.83429E-13	100.0								
true	[BLASTED]	mtb_smORF547_640723_640974_-	Conserved protein of uncharacterised function%2C possible antitoxin	83	1	1.65816E-9	100.0								
true	[BLASTED]	mtb_smORF548_612565_612813_-	Uncharacterised protein	82	2	1.38159E-38	100.0								
true	[BLASTED]	mtb_smORF549_591481_591777_-	hypothetical protein BIS44_4427	98	1	3.37077E-19	100.0								
true	[NO-BLAST]	mtb_smORF550_565375_565590_-	---NA---	71											
true	[BLASTED]	mtb_smORF551_545188_545418_-	Uncharacterised protein	76	4	1.72407E-48	99.34								
true	[NO-BLAST]	mtb_smORF552_542014_542268_-	---NA---	84											
true	[BLASTED]	mtb_smORF553_483820_484014_-	hypothetical protein	64	1	1.69059E-35	98.44								
true	[NO-BLAST]	mtb_smORF554_296581_296826_-	---NA---	81											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF555_180805_181029_-	PE-PGRS family protein	74	20	1.14446E-10	100.0	1	F:GO:0004725	F:protein tyrosine phosphatase activity	EC:3.1.3.48	Protein-tyrosine-phosphatase			
true	[NO-BLAST]	mtb_smORF556_48034_48243_-	---NA---	69											
true	[BLASTED]	mtb_smORF557_13024_13176_-	Uncharacterised protein	50	15	2.50271E-27	99.07								
